OBJECTID,LAD21CD,LAD21NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Leng,SHAPE_Area
140,E07000118,Chorley,359189,419724,-2.619210004806519,53.672401428222656,114515.88716516581,202762136.97798878
141,E07000119,Fylde,339554,433811,-2.919140100479126,53.797088623046875,138118.39761870037,165696809.24225125
142,E07000120,Hyndburn,374407,428971,-2.389640092849731,53.7564811706543,42726.645533073206,73006538.39628285
143,E07000121,Lancaster,356896,464988,-2.660300016403198,54.079010009765625,345319.32904616476,566931386.9899558
144,E07000122,Pendle,387637,443368,-2.18956995010376,53.88636016845703,79243.62739070244,169380095.93673873
145,E07000123,Preston,352825,436432,-2.718090057373047,53.822021484375,82804.91515294972,142284181.58719447
146,E07000124,Ribble Valley,372687,447676,-2.417399883270264,53.92449951171875,150571.01901216584,584462427.3451915
147,E07000125,Rossendale,382827,420955,-2.261490106582642,53.68478012084961,71149.66789049457,138040902.83467543
148,E07000126,South Ribble,352017,425840,-2.728709936141968,53.726749420166016,105351.71672863446,113141866.93734868
149,E07000127,West Lancashire,342611,413270,-2.868930101394653,53.612831115722656,227324.58998957853,346632973.1139009
150,E07000128,Wyre,347295,445159,-2.803590059280396,53.89990997314453,212730.7211545465,282164810.76027995
151,E07000129,Blaby,454385,297994,-1.198869943618774,52.57706069946289,100819.77202031085,130468677.4805742
152,E07000130,Charnwood,458365,316155,-1.136940002441406,52.739898681640625,115474.27042431309,279042273.1046864
153,E07000131,Harborough,474549,293875,-0.902289986610413,52.53765869140625,185950.6398105476,592692043.9348737
154,E07000132,Hinckley and Bosworth,439538,301379,-1.417549967765808,52.608768463134766,111545.99177398482,297351487.7094166
155,E07000133,Melton,477328,323472,-0.854399979114532,52.80329132080078,140629.285236828,481380509.62402505
156,E07000134,North West Leicestershire,439111,316252,-1.42209005355835,52.74250030517578,116453.02578520989,279328076.04253966
157,E07000135,Oadby and Wigston,461543,299379,-1.093000054359436,52.588748931884766,31171.732946194406,23526096.525990438
158,E07000136,Boston,526851,343953,-0.11218000203371,52.97793960571289,440527.0913528585,364008573.37702996
159,E07000137,East Lindsey,534861,376064,0.020516000688076,53.264461517333984,373175.48759290646,1766773259.035486
160,E07000138,Lincoln,496347,370096,-0.558480024337769,53.21921157836914,32969.762987801616,35690274.46345825
161,E07000139,North Kesteven,502135,354788,-0.476700007915497,53.08058166503906,181807.6303941468,922471383.4081191
162,E07000140,South Holland,532910,322928,-0.03057000041008,52.78757858276367,438385.62657140766,750076114.0763173
163,E07000141,South Kesteven,501406,328986,-0.495649993419647,52.84885025024414,209816.23629416677,942585798.3733783
164,E07000142,West Lindsey,499314,390326,-0.507740020751953,53.40044021606445,249630.48017822398,1155731961.1836567
165,E07000143,Breckland,591015,303330,0.818715989589691,52.59421157836914,239527.4844254794,1305116638.262436
166,E07000144,Broadland,619864,315909,1.252316951751709,52.69622039794922,219128.14867315433,552060635.5690451
167,E07000145,Great Yarmouth,646761,315881,1.649510025978088,52.684391021728516,145908.01709849993,174314101.65518832
168,E07000146,King's Lynn and West Norfolk,571219,315805,0.533243000507355,52.71282958984375,695922.6114450347,1439522738.0239732
169,E07000147,North Norfolk,611076,330857,1.132099032402039,52.83388900756836,600214.6920256104,967553195.4269415
170,E07000148,Norwich,622355,309773,1.284978985786438,52.64012908935547,52686.50076483654,39021966.285992324
171,E07000149,South Norfolk,628990,295823,1.373232960700989,52.51218032836914,266872.2704030557,907576581.3874801
172,E07000163,Craven,389513,461989,-2.161679983139038,54.05376052856445,199883.56985249073,1178807442.7374
173,E07000164,Hambleton,443009,490546,-1.340489983558655,54.308719635009766,298549.7161500297,1311242676.267692
174,E07000165,Harrogate,427473,464652,-1.581609964370728,54.07707977294922,246983.78350352228,1309117894.6892557
175,E07000166,Richmondshire,401039,495786,-1.985520005226135,54.357608795166016,221695.05201312568,1318702675.0249398
176,E07000167,Ryedale,475590,478890,-0.842769980430603,54.20021057128906,249873.20163297138,1506594092.8198183
177,E07000168,Scarborough,495798,495548,-0.527779996395111,54.346500396728516,241939.6210964281,816188424.6991887
178,E07000169,Selby,457551,426670,-1.129080057144165,53.73326873779297,264847.13171010435,599315524.9033647
179,E07000170,Ashfield,450035,355843,-1.254220008850098,53.097469329833984,69174.70108369525,109557941.22315405
180,E07000171,Bassetlaw,468073,384835,-0.97869998216629,53.356040954589844,159734.42711558787,637803646.7510623
181,E07000172,Broxtowe,449829,341893,-1.259439945220947,52.97209930419922,65999.61650485941,80098842.64606467
182,E07000173,Gedling,459184,347811,-1.119070053100586,53.02434158325195,69754.38054574553,119981506.1413209
183,E07000174,Mansfield,455047,363637,-1.178040027618408,53.167030334472656,51090.814850584175,76696899.02723
184,E07000175,Newark and Sherwood,470624,357451,-0.946430027484894,53.10960006713867,187422.29409254383,651340472.1842418
185,E07000176,Rushcliffe,466606,335453,-1.010969996452332,52.91239929199219,123324.20481250253,409231535.9763312
186,E07000177,Cherwell,449301,221201,-1.285060048103333,51.88719940185547,225626.040390187,588741166.4423552
187,E07000178,Oxford,452277,206368,-1.244050025939941,51.753570556640625,34999.53485500603,45602916.35784271
188,E07000179,South Oxfordshire,463890,191964,-1.07846999168396,51.62287902832031,205399.79637962268,678521424.5084845
189,E07000180,Vale of White Horse,435693,195197,-1.485430002212524,51.6544303894043,175976.84218186364,578660266.6428971
190,E07000181,West Oxfordshire,434343,215816,-1.502920031547546,51.839900970458984,160247.4970180121,714422027.3778797
191,E07000187,Mendip,362238,144090,-2.5417799949646,51.194759368896484,198849.80377294897,739435425.7212847
192,E07000188,Sedgemoor,338429,143998,-2.882460117340088,51.19186019897461,258006.9777502761,564223845.1240491
193,E07000189,South Somerset,345633,120798,-2.775880098342896,50.98398971557617,241316.7359036706,959040235.6426244
194,E07000192,Cannock Chase,401261,311553,-1.982769966125488,52.70166015625,50127.567682705245,78882571.19323851
195,E07000193,East Staffordshire,412601,326569,-1.814380049705505,52.836509704589844,183696.0801716715,389987162.3390229
196,E07000194,Lichfield,416283,310967,-1.760489940643311,52.69615173339844,127468.12366533214,331294331.2899886
197,E07000195,Newcastle-under-Lyme,378199,345174,-2.3263099193573,53.003448486328125,108258.87790641382,210957320.57933924
198,E07000196,South Staffordshire,389625,311037,-2.154949903488159,52.69691848754883,184894.03498859817,407322253.0628065
199,E07000197,Stafford,389001,327836,-2.164750099182129,52.84791946411133,159078.50400400255,598172232.707002
200,E07000198,Staffordshire Moorlands,400543,352443,-1.993340015411377,53.06924057006836,152448.0057297771,575849820.3985442
201,E07000199,Tamworth,421455,302550,-1.684509992599487,52.62031173706055,30729.914572777907,30850718.765313786
202,E07000200,Babergh,599987,244692,0.916149020195007,52.06449890136719,210447.77906267182,595116562.5364993
203,E07000202,Ipswich,617161,244456,1.166144967079163,52.0559196472168,45342.29176163987,39509795.45100851
204,E07000203,Mid Suffolk,611646,262338,1.09695303440094,52.218589782714844,191154.57885846123,871070646.004869
205,E07000207,Elmbridge,511882,163658,-0.394410014152527,51.36098098754883,52205.999280747084,96334274.69596851
206,E07000208,Epsom and Ewell,521176,161475,-0.26172000169754,51.33945083618164,28503.66763315647,34079152.842614956
207,E07000209,Guildford,500408,151481,-0.562569975852966,51.253658294677734,128414.09885564164,270931187.38740647
208,E07000210,Mole Valley,518377,148953,-0.306030005216599,51.22748947143555,105402.6877865539,258320952.51708576
209,E07000211,Reigate and Banstead,525786,152574,-0.19870999455452,51.258460998535156,79923.50798043083,129143924.29743837
210,E07000212,Runnymede,501777,166979,-0.538550019264221,51.392730712890625,45677.289859286306,78040686.69118764
211,E07000213,Spelthorne,507012,169622,-0.462540000677109,51.41551971435547,44134.44918370541,51161362.66520557
212,E07000214,Surrey Heath,491362,160483,-0.689859986305237,51.33610153198242,53559.62249617127,95092959.25258702
213,E07000215,Tandridge,536365,150325,-0.048050001263618,51.235809326171875,83136.78247376287,248194569.76140195
214,E07000216,Waverley,496363,140635,-0.623430013656616,51.1568603515625,125435.76271186775,345170238.0299158
215,E07000217,Woking,499087,157542,-0.579819977283478,51.30836868286133,54781.327212708595,63603603.46362682
216,E07000218,North Warwickshire,425570,296399,-1.624199986457825,52.56483840942383,113230.42318090868,284261502.7429754
217,E07000219,Nuneaton and Bedworth,435419,289352,-1.479650020599365,52.500938415527344,48148.58496172506,78950291.64483863
218,E07000220,Rugby,446498,276244,-1.318279981613159,52.38227844238281,115093.4196068974,353557288.510639
219,E07000221,Stratford-on-Avon,425019,251536,-1.635650038719177,52.16154098510742,261383.67361672223,977869055.5698744
220,E07000222,Warwick,428484,267113,-1.583690047264099,52.30141830444336,116717.12723473943,282882319.7453211
221,E07000223,Adur,518076,106472,-0.324169993400574,50.84571838378906,60515.63234543669,42065494.46240846
222,E07000224,Arun,495144,105723,-0.649990022182465,50.84320831298828,156497.76028944395,220991201.21870378
223,E07000225,Chichester,490285,116600,-0.716300010681152,50.941768646240234,297274.81035062694,786194857.3970628
224,E07000226,Crawley,526390,137581,-0.195329993963242,51.12356948852539,38799.414929630344,44971203.15239883
225,E07000227,Horsham,513674,123840,-0.381260007619858,51.00271987915039,215759.5136935785,530278365.06977236
226,E07000228,Mid Sussex,533054,130623,-0.102719999849796,51.05952835083008,132912.17648848693,334029226.73411757
227,E07000229,Worthing,512679,104948,-0.401270002126694,50.833099365234375,29462.09519321585,32521008.047074433
228,E07000234,Bromsgrove,399840,273736,-2.003760099411011,52.361690521240234,113135.30596541637,216968481.0067563
229,E07000235,Malvern Hills,377465,252197,-2.330889940261841,52.167579650878906,230605.35525196558,577070979.602111
230,E07000236,Redditch,403705,265253,-1.947100043296814,52.2854118347168,41301.756007347416,54250911.91788095
231,E07000237,Worcester,385725,255196,-2.210249900817871,52.194820404052734,31263.066275777834,33278125.02364585
232,E07000238,Wychavon,398991,247839,-2.016139984130859,52.12886047363281,219519.70132435422,663541973.4526844
233,E07000239,Wyre Forest,384106,276388,-2.234940052032471,52.38529968261719,100867.07535558115,195403721.02813268
234,E07000240,St Albans,514580,209623,-0.340700000524521,51.7735595703125,72946.28480586126,161205874.24427193
235,E07000241,Welwyn Hatfield,525345,208467,-0.185179993510246,51.76087188720703,82391.98299683398,129536896.51824343
236,E07000242,East Hertfordshire,537995,220370,0.002738999901339,51.86484909057617,135188.17839554427,475669102.3643126
237,E07000243,Stevenage,524622,224531,-0.189869999885559,51.905391693115234,28588.261357579937,25969241.27939787
238,E07000244,East Suffolk,636043,266272,1.456186056137085,52.24399185180664,584790.2875478398,1260989579.4126546
239,E07000245,West Suffolk,580944,271124,0.652769029140472,52.30841827392578,274547.45556397183,1034675782.9032178
240,E07000246,Somerset West and Taunton,304960,130228,-3.357660055160522,51.063480377197266,288679.0239245628,1189084425.6824899
241,E08000001,Bolton,368352,409873,-2.479520082473755,53.58449172973633,82647.15773127228,139792042.62734967
242,E08000002,Bury,379658,410768,-2.308799982070923,53.593101501464844,68541.68841110123,99460126.87840603
243,E08000003,Manchester,384591,397063,-2.233589887619019,53.470088958740234,86856.39965730398,115648368.01940699
244,E08000004,Oldham,396603,406784,-2.052740097045898,53.55767822265625,71165.72046082858,142344917.44429496
245,E08000005,Rochdale,390315,412326,-2.147840023040771,53.6074104309082,82713.14455592856,158128175.38953477
246,E08000006,Salford,374556,398128,-2.384850025177002,53.479270935058594,63268.74159213799,97197278.4970104
247,E08000007,Stockport,391806,388264,-2.124670028686523,53.39115905761719,73638.5557808954,126040311.27518506
248,E08000008,Tameside,394987,397995,-2.07699990272522,53.478668212890625,55988.976221363984,103154292.9861387
249,E08000009,Trafford,375790,391162,-2.36572003364563,53.416709899902344,60718.08721235725,106044612.38986668
250,E08000010,Wigan,362136,402126,-2.57246994972229,53.51445007324219,88690.38581425582,188171012.46779948
251,E08000011,Knowsley,344762,393778,-2.832969903945923,53.43788146972656,68167.36916369533,86500060.75573607
252,E08000012,Liverpool,339361,390553,-2.913640022277832,53.40829849243164,62699.748783167786,111835572.36201026
253,E08000013,St. Helens,353412,395992,-2.703099966049194,53.4586181640625,76386.88958988104,136358793.4828819
254,E08000014,Sefton,334282,398832,-2.991770029067993,53.48210144042969,130345.75280274109,156578243.92380953
255,E08000015,Wirral,329110,386965,-3.067009925842285,53.374778747558594,133924.40853914118,160922013.98963657
256,E08000016,Barnsley,429979,403327,-1.54925000667572,53.5257682800293,126421.141156487,329077594.5037113
257,E08000017,Doncaster,459167,403735,-1.108940005302429,53.52696990966797,171114.48848026953,568006405.2865112
258,E08000018,Rotherham,447542,388980,-1.286509990692139,53.395530700683594,106151.90384443042,286534366.87658507
